2000,64,4,0.017503
2000,64,37,0.041651
2000,64,360,0.370668
6000,64,4,0.119452
6000,64,37,0.329823
6000,64,360,2.537889
10000,64,4,0.352288
10000,64,37,0.904364
10000,64,360,6.651866
14000,64,4,0.672438
14000,64,37,1.92862
14000,64,360,12.945997
2000,62,4,0.01698
2000,62,37,0.043481
2000,62,360,0.322896
6000,62,4,0.119461
6000,62,37,0.338377
6000,62,360,2.54629
10000,62,4,0.329398
10000,62,37,0.966076
10000,62,360,6.992289
14000,62,4,0.681477
14000,62,37,1.796117
14000,62,360,13.316857
2000,60,4,0.016758
2000,60,37,0.043885
2000,60,360,0.307594
6000,60,4,0.120483
6000,60,37,0.342151
6000,60,360,2.495588
10000,60,4,0.337606
10000,60,37,0.939018
10000,60,360,7.054997
14000,60,4,0.625906
14000,60,37,1.816439
14000,60,360,13.674573
2000,58,4,0.01774
2000,58,37,0.04573
2000,58,360,0.316051
6000,58,4,0.122547
6000,58,37,0.351764
6000,58,360,2.577842
10000,58,4,0.328137
10000,58,37,0.989498
10000,58,360,7.492703
14000,58,4,0.634024
14000,58,37,1.896171
14000,58,360,13.85467
2000,56,4,0.017686
2000,56,37,0.045412
2000,56,360,0.318511
6000,56,4,0.123458
6000,56,37,0.359857
6000,56,360,2.744883
10000,56,4,0.330585
10000,56,37,1.019334
10000,56,360,7.389487
14000,56,4,0.642202
14000,56,37,1.915945
14000,56,360,14.43279
2000,54,4,0.01773
2000,54,37,0.048111
2000,54,360,0.343097
6000,54,4,0.125337
6000,54,37,0.370122
6000,54,360,2.964821
10000,54,4,0.341174
10000,54,37,1.01904
10000,54,360,7.580013
14000,54,4,0.650802
14000,54,37,2.034454
14000,54,360,14.966107
2000,52,4,0.018036
2000,52,37,0.049616
2000,52,360,0.434339
6000,52,4,0.126738
6000,52,37,0.383643
6000,52,360,2.87017
10000,52,4,0.339381
10000,52,37,1.063143
10000,52,360,7.946218
14000,52,4,0.66134
14000,52,37,2.0749
14000,52,360,15.537294
2000,50,4,0.018556
2000,50,37,0.048583
2000,50,360,0.36523
6000,50,4,0.127909
6000,50,37,0.419587
6000,50,360,3.10544
10000,50,4,0.363709
10000,50,37,1.075441
10000,50,360,8.491208
14000,50,4,0.671956
14000,50,37,2.086192
14000,50,360,16.067695
2000,48,4,0.017054
2000,48,360,0.35358
6000,48,4,0.124474
6000,48,37,0.399401
6000,48,360,3.070431
10000,48,4,0.337691
10000,48,37,1.094148
10000,48,360,8.987531
14000,48,4,0.653202
14000,48,37,2.44635
14000,48,360,17.143723
2000,46,4,0.017485
2000,46,37,0.050051
2000,46,360,0.368512
6000,46,4,0.127156
6000,46,37,0.413537
6000,46,360,3.223574
10000,46,4,0.342164
10000,46,37,1.133041
10000,46,360,8.886091
14000,46,4,0.664176
14000,46,37,2.211689
14000,46,360,17.257371
2000,44,4,0.017143
2000,44,37,0.051363
2000,44,360,0.381558
6000,44,4,0.128945
6000,44,37,0.427397
6000,44,360,3.33308
10000,44,4,0.348455
10000,44,37,1.190335
10000,44,360,9.223424
14000,44,4,0.707365
14000,44,37,2.326073
14000,44,360,18.055914
2000,42,4,0.017056
2000,42,37,0.05383
2000,42,360,0.402488
6000,42,4,0.130961
6000,42,37,0.443206
6000,42,360,3.578919
10000,42,4,0.377181
10000,42,37,1.236997
10000,42,360,9.684288
14000,42,4,0.707197
14000,42,37,2.371236
14000,42,360,18.784727
2000,40,4,0.017338
2000,40,37,0.05395
2000,40,360,0.415164
6000,40,4,0.132458
6000,40,37,0.461143
6000,40,360,3.750817
10000,40,4,0.360151
10000,40,37,1.366099
10000,40,360,10.050244
14000,40,4,0.699827
14000,40,37,2.536271
14000,40,360,19.688959
2000,38,4,0.017934
2000,38,37,0.060158
2000,38,360,0.437711
6000,38,4,0.136816
6000,38,37,0.48203
6000,38,360,3.826139
10000,38,4,0.369285
10000,38,37,1.317641
10000,38,360,10.711902
14000,38,4,0.720679
14000,38,37,2.604857
14000,38,360,20.801253
2000,36,4,0.018263
2000,36,37,0.059112
2000,36,360,0.456221
6000,36,4,0.140244
6000,36,37,0.505135
6000,36,360,4.063583
10000,36,4,0.389995
10000,36,37,1.384209
10000,36,360,11.238207
14000,36,4,0.737212
14000,36,37,2.702351
14000,36,360,21.920371
2000,34,4,0.019211
2000,34,37,0.062906
2000,34,360,0.481177
6000,34,4,0.142581
6000,34,37,0.526349
6000,34,360,4.246082
10000,34,4,0.426031
10000,34,37,1.45265
10000,34,360,12.003382
14000,34,4,0.755368
14000,34,37,2.940295
14000,34,360,23.174136
2000,32,4,0.017822
2000,32,37,0.063446
2000,32,360,0.509072
6000,32,4,0.138324
6000,32,37,0.546457
6000,32,360,4.508938
10000,32,4,0.378471
10000,32,37,1.585461
10000,32,360,12.635896
14000,32,4,0.827389
14000,32,37,3.995825
14000,32,360,34.844311
2000,30,4,0.018378
2000,30,37,0.067576
2000,30,360,0.629633
6000,30,4,0.142352
6000,30,37,0.582716
6000,30,360,4.848673
10000,30,4,0.388439
10000,30,37,1.610796
10000,30,360,13.412824
14000,30,4,0.761586
14000,30,37,3.179155
14000,30,360,26.290876
2000,28,4,0.01883
2000,28,37,0.071679
2000,28,360,0.580452
6000,28,4,0.147591
6000,28,37,0.618106
6000,28,360,5.270472
10000,28,4,0.401486
10000,28,37,1.700887
10000,28,360,14.360317
14000,28,4,0.783436
14000,28,37,3.321273
14000,28,360,27.994399
2000,26,4,0.019692
2000,26,37,0.075678
2000,26,360,0.647019
6000,26,4,0.152366
6000,26,37,0.656392
6000,26,360,5.613618
10000,26,4,0.416525
10000,26,37,1.815365
10000,26,360,15.301794
14000,26,4,0.821057
14000,26,37,3.539277
14000,26,360,29.990661
2000,24,4,0.020248
2000,24,37,0.081738
2000,24,360,0.690738
6000,24,4,0.159002
6000,24,37,0.70394
6000,24,360,5.95428
10000,24,4,0.434804
10000,24,37,1.936645
10000,24,360,16.562325
14000,24,4,0.846589
14000,24,37,3.794498
14000,24,360,32.38423
2000,22,4,0.020429
2000,22,37,0.088285
2000,22,360,0.737068
6000,22,4,0.165602
6000,22,37,0.756594
6000,22,360,6.500806
10000,22,4,0.45364
10000,22,37,2.088692
10000,22,360,17.909498
14000,22,4,0.889504
14000,22,37,4.099504
14000,22,360,35.271898
2000,20,4,0.021442
2000,20,37,0.096524
2000,20,360,0.811902
6000,20,4,0.173535
6000,20,37,0.827531
6000,20,360,7.114304
10000,20,4,0.524092
10000,20,37,2.366769
10000,20,360,19.780604
14000,20,4,0.930076
14000,20,37,4.45842
14000,20,360,38.620056
2000,18,4,0.023308
2000,18,37,0.105273
2000,18,360,0.907891
6000,18,4,0.185336
6000,18,37,0.907325
6000,18,360,7.896654
10000,18,4,0.506453
10000,18,37,2.515835
10000,18,360,21.887971
14000,18,4,0.990277
14000,18,37,4.906704
14000,18,360,42.888078
2000,16,4,0.021698
2000,16,37,0.113467
2000,16,360,1.000052
6000,16,4,0.183042
6000,16,37,0.988418
6000,16,360,8.782281
10000,16,4,0.503227
10000,16,37,2.798461
10000,16,360,24.419109
14000,16,4,0.9784
14000,16,37,5.37932
14000,16,360,47.814618
2000,14,4,0.023802
2000,14,37,0.128583
2000,14,360,1.135746
6000,14,4,0.198086
6000,14,37,1.116832
6000,14,360,10.006318
10000,14,4,0.546819
10000,14,37,3.089402
10000,14,360,27.692988
14000,14,4,1.063765
14000,14,37,6.054954
14000,14,360,54.260447
2000,12,4,0.025503
2000,12,37,0.146212
2000,12,360,1.313607
6000,12,4,0.218402
6000,12,37,1.284796
6000,12,360,11.612378
10000,12,4,0.600046
10000,12,37,3.572141
10000,12,360,32.230782
14000,12,4,1.183272
14000,12,37,6.996179
14000,12,360,63.11961
2000,10,4,0.028865
2000,10,37,0.172985
2000,10,360,1.565902
6000,10,4,0.244319
6000,10,37,1.524278
6000,10,360,13.866701
10000,10,4,0.675764
10000,10,37,4.230652
10000,10,360,38.500981
14000,10,4,1.323475
14000,10,37,8.280274
14000,10,360,75.484105
2000,8,4,0.033392
2000,8,37,0.213256
2000,8,360,1.946697
6000,8,4,0.28767
6000,8,37,1.884484
6000,8,360,17.317725
10000,8,4,0.793806
10000,8,37,5.231478
10000,8,360,48.000732
14000,8,4,1.551871
14000,8,37,10.240181
14000,8,360,94.006667
2000,6,4,0.041316
2000,6,37,0.27904
2000,6,360,2.575389
6000,6,4,0.357089
6000,6,37,2.482962
6000,6,360,23.017545
10000,6,4,1.005143
10000,6,37,6.90391
10000,6,360,64.047429
14000,6,4,1.950834
14000,6,37,13.488782
14000,6,360,125.300197
2000,4,4,0.056502
2000,4,37,0.411587
2000,4,360,3.836346
6000,4,4,0.500021
6000,4,37,3.671479
6000,4,360,34.340217
10000,4,4,1.381605
10000,4,37,10.187872
10000,4,360,95.231786
14000,4,4,2.693172
14000,4,37,19.963746
14000,4,360,186.820011
2000,2,4,0.103806
2000,2,37,0.809525
2000,2,360,7.614889
6000,2,4,0.925025
6000,2,37,7.271029
6000,2,360,68.433209
10000,2,4,2.557163
10000,2,37,20.187656
10000,2,360,190.170372
14000,2,4,5.010463
14000,2,37,39.559554
14000,2,360,373.248886
